location_id,pm2_5,pm10,no2,so2,o3,co,aqi
3409406,11.54,13.38,2.65,0.84,46.8,185.77,2
3409407,8.4,10.74,3.67,0.67,58.19,260.96,1
3409408,76,110.89,21.38,14.63,57.19,729.06,5
3409409,110.16,137.19,18.57,9.47,55.92,810.26,5
3409410,11.62,27.93,10.88,2.4,26.29,265.61,2
3409411,5.99,6.88,3.91,0.71,24.98,170.43,1
3409412,11.54,13.38,2.65,0.84,46.8,185.77,2
3409413,6.25,7.91,3.36,1.03,42.33,173.48,1
3409414,10.83,12.72,4.82,1.74,34.07,160.83,2
3409415,15.9,19.28,10.3,5.63,15.01,413.58,2
3409416,17.35,22.85,9.43,5.83,34.36,206.81,2
3409417,12.91,17.86,4.92,1.81,39.38,205.07,2
3409418,24.63,31.93,4.41,1.09,82.54,387.22,2
3409419,12.9,57.21,1.14,0.78,54.56,108.73,3
3409420,43.34,100.61,5.19,1.67,65.48,300.26,4
3409421,9.88,12.18,3.75,1.6,73.42,319.29,2
3409422,28.15,46.42,12.31,1.04,50.82,425.56,3
3409423,13.66,19.67,4.65,0.95,35.53,203.03,2
3409424,47.66,117.15,6.92,2.47,69.36,308.4,4
3409425,10.05,22.47,3.92,0.66,47.63,163.28,2
3409426,15.38,21.52,6.16,4.31,41.51,206.48,2
3409427,17.99,29.27,6.74,1.43,62.93,341.11,2
3409428,19.58,24.8,6.62,2.69,69.86,405.94,2
3409429,10.15,12.24,3.81,1.25,41.92,182.91,2
3409430,12.12,16.83,4.09,0.93,71.98,315.68,2
3409431,10.05,22.47,3.92,0.66,47.63,163.28,2
3409432,12.12,16.83,4.09,0.93,71.98,315.68,2
3409433,13.71,18.25,3.96,0.98,72.34,325.41,2
3409434,13.41,20.16,15.97,4,18.37,311.73,2
3409435,1.64,3.09,1.47,0.4,26.98,102.68,1
3409436,1.4,3.05,0.6,0.21,35.21,85.33,1
3409437,1.57,3.38,1.02,0.32,29.85,95.27,1
3409438,1.26,2.16,0.83,0.22,35.48,87.81,1
3409439,1.26,2.16,0.83,0.22,35.48,87.81,1
3409440,2.54,4.93,3.29,0.77,23.93,135.22,1
3409441,2.54,4.93,3.29,0.77,23.93,135.22,1
3409442,11.06,14.53,4.41,1.13,43.41,198.57,2
3409443,10.92,12.97,3.54,0.83,51.57,211.55,2
3409444,14.02,57.38,0.47,0.41,56.91,115.47,3
3409445,10.05,22.47,3.92,0.66,47.63,163.28,2
3409446,2.51,4.63,3.94,0.81,15.72,145.72,1
3409447,9.39,11.28,3.44,1.32,49.28,235.36,1
3409448,1.54,3.25,5.41,1.13,21.01,139.14,1
3409449,1.54,3.25,5.41,1.13,21.01,139.14,1
3409450,15.14,32.8,3.33,1.54,72.54,181.16,2
3409451,8.19,15.07,8.9,5.49,15.58,244.59,1
