id,name,city,country,coordinates
delhi-anand-vihar,Anand Vihar,Delhi,IN,"{'latitude': 28.646, 'longitude': 77.315}"
delhi-rk-puram,R.K. Puram,Delhi,IN,"{'latitude': 28.562, 'longitude': 77.183}"
delhi-mandir-marg,Mandir Marg,Delhi,IN,"{'latitude': 28.637, 'longitude': 77.207}"
delhi-ashok-vihar,Ashok Vihar,Delhi,IN,"{'latitude': 28.692, 'longitude': 77.17}"
bangalore-btm,BTM Layout,Bangalore,IN,"{'latitude': 12.916, 'longitude': 77.61}"
bangalore-peenya,Peenya,Bangalore,IN,"{'latitude': 13.03, 'longitude': 77.53}"
bangalore-yeshwanthpur,Yeshwanthpur,Bangalore,IN,"{'latitude': 13.02, 'longitude': 77.55}"
bangalore-whitefield,Whitefield,Bangalore,IN,"{'latitude': 12.969, 'longitude': 77.749}"
mumbai-bandra,Bandra,Mumbai,IN,"{'latitude': 19.054, 'longitude': 72.84}"
mumbai-kurla,Kurla,Mumbai,IN,"{'latitude': 19.074, 'longitude': 72.88}"
mumbai-borivali,Borivali,Mumbai,IN,"{'latitude': 19.231, 'longitude': 72.856}"
mumbai-dadar,Dadar,Mumbai,IN,"{'latitude': 19.017, 'longitude': 72.843}"
5443,"Mahakaleshwar Temple, Ujjain - MPPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 23.182719, 'longitude': 75.768218}"
5505,"Birla Staff colony, Satna - MPPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 24.5908256, 'longitude': 80.8574279}"
5509,"Anand Vihar, Delhi - DPCC",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.647622000000002, 'longitude': 77.315809}"
5540,"Punjabi Bagh, Delhi - DPCC",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.6670856, 'longitude': 77.1301247}"
5541,"Burari Crossing, New Delhi - IMD",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.7256504, 'longitude': 77.2011573}"
5542,"Civil Line, Jalandhar - PPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 31.321907, 'longitude': 75.578914}"
5544,"Model Town, Patiala - PPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 30.349388, 'longitude': 76.366642}"
5546,Tata Stadium - Jorapokhar - JSPCB,,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 23.707909, 'longitude': 86.41467}"
5547,"BWSSB Kadabesanahalli, Bengaluru - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 12.9352049, 'longitude': 77.6814488}"
5548,"BTM Layout, Bengaluru - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 12.9135218, 'longitude': 77.5950804}"
5551,"Golden Temple, Amritsar - PPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 31.62, 'longitude': 74.876512}"
5552,"MD University, Rohtak - HSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.870083, 'longitude': 76.6205}"
5558,"Alandur Bus Depot, Chennai - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 12.909916100000002, 'longitude': 80.1076538}"
5559,"Collectorate, Gaya - BSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 24.7955, 'longitude': 84.9994}"
5565,"MIDC Khutala, Chandrapur - MPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 19.9775302, 'longitude': 79.2337086}"
5566,"Talcher Coalfields,Talcher - OSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 20.9360711, 'longitude': 85.1707021}"
5569,"Punjab Agricultural University, Ludhiana - PPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 30.9028, 'longitude': 75.8086}"
5570,"Aya Nagar, New Delhi - IMD",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.474261, 'longitude': 77.131606}"
5574,"City Railway Station, Bengaluru - KSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 12.9756843, 'longitude': 77.5660749}"
5576,"Moti Doongri, Alwar - RSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 27.554793, 'longitude': 76.611536}"
5581,"Pusa, New Delhi - IMD",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.610304, 'longitude': 77.0996943}"
5585,"Ashok Nagar, Udaipur - RSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 24.5886166, 'longitude': 73.6321397}"
5586,"Sirifort, Delhi - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.5504249, 'longitude': 77.2159377}"
5587,"Collectorate, Jodhpur - RSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.268249, 'longitude': 73.0193853}"
5588,"RIICO Ind. Area III, Bhiwadi - RSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.194909, 'longitude': 76.862296}"
5590,"Ardhali Bazar, Varanasi - UPPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 25.3505986, 'longitude': 82.9083074}"
5592,"Gangapur Road, Nashik - MPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 20.0073285, 'longitude': 73.7762427}"
5593,"Pimpleshwar Mandir, Thane - MPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 19.192056, 'longitude': 72.9585188}"
5594,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.1209, 'longitude': 85.3647}"
5596,"Secretariat, Amaravati - APPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 16.5150833, 'longitude': 80.5181667}"
5598,"Sector - 125, Noida, UP - UPPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.5447608, 'longitude': 77.3231257}"
